user cancelAuction bid createAuction session_count
user608 0.0 0.0 1.0 1
user610 0.0 1.0 0.0 1
user644 0.0 1.0 0.0 1
user609 1.0 0.0 1.0 1
user612 0.0 0.0 1.0 1
user613 0.0 0.0 1.0 1
user616 0.0 0.0 1.0 1
user623 1.0 1.0 1.0 3
user624 0.0 1.0 0.0 1
user649 0.0 1.0 0.0 2
user626 1.0 1.0 1.0 2
user627 1.0 0.0 1.0 1
user651 0.0 1.0 0.0 1
user636 0.0 1.0 0.0 1
user661 0.0 1.0 0.0 1
user648 0.0 0.0 1.0 3
user656 0.0 0.0 1.0 2
user663 0.0 1.0 0.0 3
user673 0.0 1.0 0.0 3
user691 0.0 1.0 0.0 2
user664 0.0 0.0 1.0 1
user666 1.0 1.0 1.0 1
user669 0.0 0.0 1.0 1
user671 0.0 0.0 1.0 1
user690 0.0 1.0 0.0 1
user693 0.0 1.0 0.0 1
user689 0.0 0.0 1.0 5
user695 1.0 0.0 1.0 4
