57036  transactions
creator setV1DigitalMediaStoreAddress  success
creator addApprovedTokenCreator  success
creator unpause  success
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user2 oboCreateDigitalMediaAndReleases 315;5300 success
user2 oboCreateDigitalMediaAndReleases 316;5301 success
user3 approve 310 success
user3 approve 314 success
user3 approve 312 success
user3 approve 315 success
user3 approve 316 success
user2 oboCreateDigitalMediaAndReleases 317;5302 success
user3 approve 317 success
user2 oboCreateDigitalMediaAndReleases 318;5303 success
user3 approve 318 success
user2 oboCreateDigitalMediaAndReleases 319;5304 success
user3 approve 319 success
user3 approve 185 success
user2 oboCreateDigitalMediaAndReleases 320;5305 success
user3 approve 320 success
user2 oboCreateDigitalMediaAndReleases 321;5306 success
user3 approve 321 success
user2 oboCreateDigitalMediaAndReleases 322;5307 success
user3 approve 322 success
user2 oboCreateDigitalMediaAndReleases 323;5308 success
user2 oboCreateDigitalMediaAndReleases 324;5309 success
user3 approve 323 success
user2 oboCreateDigitalMediaAndReleases 325;5310 success
user3 approve 325 success
user2 oboCreateDigitalMediaReleases 326;222 success
user3 approve 326 success
user2 oboCreateDigitalMediaAndReleases 327;5311 success
user3 approve 327 success
user2 oboCreateDigitalMediaAndReleases 328;5312 success
user3 approve 328 success
user2 oboCreateDigitalMediaAndReleases 329;5313 success
user3 approve 329 success
user2 oboCreateDigitalMediaAndReleases 330;5314 success
user3 approve 330 success
user2 oboCreateDigitalMediaAndReleases 331;5315 success
user3 approve 331 success
user2 oboCreateDigitalMediaAndReleases 332;5316 success
user2 oboCreateDigitalMediaAndReleases 333;5317 success
user2 oboCreateDigitalMediaAndReleases 334;5318 success
user2 oboCreateDigitalMediaAndReleases 335;5319 success
user3 approve 335 success
user2 oboCreateDigitalMediaAndReleases 336;5320 success
user3 approve 336 success
user2 oboCreateDigitalMediaAndReleases 337;5321 success
user3 approve 337 success
user2 oboCreateDigitalMediaAndReleases 338;5322 success
user3 approve 338 success
user2 oboCreateDigitalMediaAndReleases 339;5323 success
user2 oboCreateDigitalMediaAndReleases 340;5324 success
user3 approve 339 success
user3 approve 340 success
user2 oboCreateDigitalMediaAndReleases 341;5325 success
user2 oboCreateDigitalMediaAndReleases 342;5326 success
user3 approve 342 success
user3 approve 341 success
user2 oboCreateDigitalMediaAndReleases 343;5327 success
user3 approve 343 success
user2 oboCreateDigitalMediaAndReleases 344;5328 success
user2 oboCreateDigitalMediaAndReleases 345;5329 success
user3 approve 344 success
user3 approve 345 success
user2 oboCreateDigitalMediaAndReleases 346;5330 success
user3 approve 346 success
user2 oboCreateDigitalMediaAndReleases 347;5331 success
user2 oboCreateDigitalMediaAndReleases 348;5332 success
user3 approve 347 success
user3 approve 348 success
user2 oboCreateDigitalMediaAndReleases 349;5333 success
user3 approve 349 success
user2 oboCreateDigitalMediaAndReleases 350;5334 success
user3 approve 350 success
